Question	Gold	Top3_Distractors	Q_Coarse	Q_Fine	Gold_spaCy	Candidate_Type
Which famous landmark did Beyonce see in China?	the Great Wall of China	['the Hollywood Walk of Fame', 'the Golden Globe Awards', 'Broadway']	None	None	FAC	{'FAC'}	
In what year did Beyonce have her hiatus?	2010	['2012', '2013', '2011']	None	None	DATE	{'DATE'}	
Who inspired this hiatus?	her mother	[]	None	None	None	set()	
When did she stop using her father as a manager?	During the break	[]	None	None	None	set()	
How long did the hiatus last?	nine months	['autumn 2015', 'seven-month', '15 May 2013']	None	None	DATE	{'DATE'}	
What did Beyoncé announce in January 2010?	a hiatus	[]	None	None	None	set()	
Who suggested the hiatus for Beyoncé?	her mother	[]	None	None	None	set()	
Who did Beyoncé part ways with during her hiatus?	her father	['New Orleans', 'New Zealand', "New York's"]	None	None	GPE	{'GPE'}	
How long did her hiatus last?	nine months	['autumn 2015', 'seven-month', '15 May 2013']	None	None	DATE	{'DATE'}	
In which year was reports about Beyonce performing for Muammar Gaddafi surface?	2011	['2010', '2012', '2013']	None	None	DATE	{'DATE'}	
Who did Beyonce donate the money to earned from her shows?	Clinton Bush Haiti Fund	[]	None	None	None	set()	
Beyonce became the first female artist to perform solo in 20 years at which stage?	the 2011 Glastonbury Festival	['the Global Citizen Festival later', 'the International Artist Award', 'the Billboard Millennium Award']	None	None	EVENT	{'EVENT'}	
Which organization did Beyonce's spokespeople confirm her donations to?	The Huffington Post	['The Washington Post', "Destiny's Child", "the First Couple's"]	None	None	ORG	{'ORG'}	
Beyonce was listed in 2011 as the highest paid performer per what?	minute	[]	None	None	None	set()	
Hoe did everyone learn that Beyonce performed for Kaddafi?	documents obtained by WikiLeaks	[]	None	None	None	set()	
When did this leak happen?	2011	['2010', '2012', '2013']	None	None	DATE	{'DATE'}	
Who did she tell about the donation?	The Huffington Post	['The Washington Post', "Destiny's Child", "the First Couple's"]	None	None	ORG	{'ORG'}	
Where did Beyonce perform in 2011?	Glastonbury Festival	['Hymn for the Weekend', 'Back to Black', 'Best Thing I Never Had']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
Who did Beyoncé perform privately for in 2011?	Muammar Gaddafi.	[]	None	None	None	set()	
Who released the information about Beyoncé's performance for the Libyan ruler?	WikiLeaks	['Starpower', 'Sony Club', 'Billboard']	None	None	ORG	{'ORG'}	
Which organization did Beyoncé donate her pay for the private performance to?	Clinton Bush Haiti Fund.	[]	None	None	None	set()	
Beyoncé was the first female singer to headline what at the 2011 Glastonbury Festival?	Pyramid stage	[]	None	None	None	set()	
Beyonce's fourth album debuted in what year?	2011	['2010', '2012', '2013']	None	None	DATE	{'DATE'}	
Which single had the most success from that album?	Love on Top	['the I Am...', 'End of Time', 'Miss a Meal']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
Beyonce won an award for which activity in 2011?	writing	[]	None	None	None	set()	
in 2011, Beyonce performed for four nights where?	New York's Roseland Ballroom	['the week of August 29, 2011', "two of the decade's", 'between June 2007 to June 2008']	None	None	DATE	{'DATE'}	
When was Beyonce's forth album released?	June 28, 2011	['June 24, 2003', 'June 11, 2005', 'March 5, 2010']	None	None	DATE	{'DATE'}	
How many copies did the album sell in its first week?	310,000 copies	[]	None	None	None	set()	
Who awarded Beyonce and award for writing?	New York Association of Black Journalists	['more than eight million', 'her album 4', '52']	None	None	CARDINAL	{'CARDINAL'}	
When did she perform at the Roseland ballroom?	2011	['2010', '2012', '2013']	None	None	DATE	{'DATE'}	
What is the name of Beyoncé's fourth studio album?	4	['1', '52', '50']	None	None	CARDINAL	{'CARDINAL'}	
When was 4 released?	June 28, 2011	['June 24, 2003', 'June 11, 2005', 'March 5, 2010']	None	None	DATE	{'DATE'}	
How many copies of 4 sold in the first week?	310,000	['317,000', '663,000', '541,000']	None	None	CARDINAL	{'CARDINAL'}	
What magazine did Beyoncé write a story for about her earlier hiatus?	Essence	[]	None	None	None	set()	
Where did Beyoncé perform for four nights of standing room only concerts in 2011?	New York's Roseland Ballroom	['the week of August 29, 2011', "two of the decade's", 'between June 2007 to June 2008']	None	None	DATE	{'DATE'}	
When did Beyonce have her first child?	January 7, 2012	['January 7, 2016', 'January 2012', 'August 24, 2014']	None	None	DATE	{'DATE'}	
Where did Beyonce give birth to her first child?	Lenox Hill Hospital	['Time', 'Wind & Fire, DeBarge', 'Second Harvest']	None	None	ORG	{'ORG'}	
Beyonce's first child is named what?	Blue Ivy Carter	['Osama bin Laden', 'Josephine Baker', 'single "Déjà Vu"']	None	None	PERSON	{'PERSON'}	
Her first appearance performing since giving birth was where?	Revel Atlantic City's Ovation Hall	[]	None	None	None	set()	
When did Beyonce have her first child?	January 7, 2012	['January 7, 2016', 'January 2012', 'August 24, 2014']	None	None	DATE	{'DATE'}	
What was the child's name?	Blue Ivy Carter	['Osama bin Laden', 'Josephine Baker', 'single "Déjà Vu"']	None	None	PERSON	{'PERSON'}	
How long was it after the birth of her child before she performed again?	Five months	[]	None	None	None	set()	
How many nights did she perform at Atlantic City?	four nights	['earlier in the evening', 'one night', 'many hours']	None	None	TIME	{'TIME'}	
When did Beyoncé give birth to a daughter?	January 7, 2012	['January 7, 2016', 'August 24, 2014', 'January 2012']	None	None	DATE	{'DATE'}	
What did Beyoncé name her daughter?	Blue Ivy Carter	['Osama bin Laden', 'Josephine Baker', 'single "Déjà Vu"']	None	None	PERSON	{'PERSON'}	
Where was Blue Ivy born?	Lenox Hill Hospital in New York.	[]	None	None	None	set()	
Where was Beyoncé's first public performance after giving birth?	Revel Atlantic City's Ovation Hall	[]	None	None	None	set()	
How many nights did Beyoncé play at the resort?	four	['five', 'Five', 'nine']	None	None	CARDINAL	{'CARDINAL'}	
Destiny's Child released a compilation album about which topic?	romance	[]	None	None	None	set()	
Beyonce's documentary movie was called what?	Life Is But a Dream	[]	None	None	None	set()	
What did Beyonce sign in 2013?	global publishing agreement	[]	None	None	None	set()	
When did Destiny's Child release its album "Love Songs"?	January 2013	['January 2010', 'January 2012', 'January 2008']	None	None	DATE	{'DATE'}	
What was the title of the added track in Love Songs?	Nuclear	[]	None	None	None	set()	
At whose inauguration did she perform the National Anthem?	President Obama	['the end of 2014', 'later that year', 'Later that year']	None	None	DATE	{'DATE'}	
How many Tweets per minute did the half time show get?	268,000 tweets per minute	['the first quarter of 2015', 'the twenty-first century', 'December 13, 2013']	None	None	DATE	{'DATE'}	
When did Destiny's Child release Love Songs?	January 2013	['January 2010', 'January 2012', 'January 2008']	None	None	DATE	{'DATE'}	
What was the new track for Love Songs?	Nuclear	[]	None	None	None	set()	
What did Beyoncé sing at President Obama's second inauguration?	the American national anthem	[]	None	None	None	set()	
What event did Beyoncé perform at one month after Obama's inauguration? 	Super Bowl XLVII halftime show	[]	None	None	None	set()	
What is the name of Beyoncé's documentary film?	Life Is But a Dream	[]	None	None	None	set()	
How many dates did Beyonce's "The Mrs. Carter Show" entail?	132	['108', '100', 'one']	None	None	CARDINAL	{'CARDINAL'}	
One of Beyonce's most successful tours yet was which one?	The Mrs. Carter Show	[]	None	None	None	set()	
Beyonce wrote which song for the movie "Epic"?	Rise Up	['At Last', 'Baby Boy', 'Soldier']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
Beyonce voiced a character in which animated film?	Epic	['Diva', 'Baby Boy', 'Déjà Vu']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
When did the tour begin?	April 15	['19 years', 'May 2015', 'May 2001']	None	None	DATE	{'DATE'}	
Of what event was Beyonce honorary chair?	2013 Met Gala	[]	None	None	None	set()	
What part did she voice for the movie Epic?	Queen Tara	['André 3000', 'Tyra Banks', 'Kanye West']	None	None	PERSON	{'PERSON'}	
What song did Beyonce record for the film Epic?	Rise Up	['At Last', 'Baby Boy', 'Soldier']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
What was the name of Beyoncé's tour that she started on April 15?	The Mrs. Carter Show World Tour	[]	None	None	None	set()	
How many dates did the Mrs. Carter Show World Tour have?	132	['108', '100', 'one']	None	None	CARDINAL	{'CARDINAL'}	
Which Amy Winehouse song did Beyoncé cover and release in May 2014?	Back to Black	['Crazy in Love', 'Drunk in Love', 'Demand A Plan']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
Beyoncé was an honorary chair of the 2013 what?	Met Gala.	[]	None	None	None	set()	
Which character in the film, Epic, was voiced by Beyoncé?	Queen Tara	['André 3000', 'Tyra Banks', 'Kanye West']	None	None	PERSON	{'PERSON'}	
Where did Beyonce release her 5th album to a huge surprise?	the iTunes Store	['African American', 'North American', 'Italian']	None	None	NORP	{'NORP'}	
When did Beyonce get her fifth consecutive number one hit album?	December 13, 2013	['February 16, 2013', 'November 18, 2008', 'November 15, 2004']	None	None	DATE	{'DATE'}	
Where was the album released? 	the iTunes Store	['African American', 'North American', 'Italian']	None	None	NORP	{'NORP'}	
Who joined Beyonce on her On The Run Tour?	Jay Z	['Baker', 'Gray', 'Halo']	None	None	PERSON	{'PERSON'}	
Who reported Beyonce to e the top earning woman in music?	Forbes	['iTunes', 'the Top Certified Artist in America', 'The Recording Industry Association of America']	None	None	ORG	{'ORG'}	
How much more were her earnings that the year before?	more than double her earnings	[]	None	None	None	set()	
When did Beyoncé release her fifth studio album?	December 13, 2013	['February 16, 2013', 'November 18, 2008', 'November 15, 2004']	None	None	DATE	{'DATE'}	
How many digital copies of her fifth album did Beyoncé sell in six days?	one million	['her album 4', '300 million', '118 million']	None	None	CARDINAL	{'CARDINAL'}	
What song on Beyoncé's fifth studio album featured her husband?	Drunk in Love	['Milk Famous (', 'Single Ladies (', 'Eat, Play, Love']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
What was the name of the tour featuring both Beyoncé and Jay Z?	On the Run Tour.	[]	None	None	None	set()	
How many awards did Beyonce take home with her at the 57th Grammy Awards?	three	['eight', 'twelve', 'nine']	None	None	CARDINAL	{'CARDINAL'}	
Which artist beat Beyonce out for Album of the year?	Beck	['Halo', 'Gray', 'Gaga']	None	None	PERSON	{'PERSON'}	
Which magazine did Beyonce pose on the cover for in August of 2015?	Vogue	['NAACP', 'Xerox', 'House']	None	None	ORG	{'ORG'}	
Beyonce would perform with who at Superbowl 50?	Coldplay	['Observer', 'the Top Female Artist of the 2000s', 'Sony Music']	None	None	ORG	{'ORG'}	
Beyonce took home how many awards at the 57th Grammy Awards?	three	['eight', 'twelve', 'nine']	None	None	CARDINAL	{'CARDINAL'}	
Beyonce lost to which artist for Album of the year?	Beck	['Halo', 'Gray', 'Gaga']	None	None	PERSON	{'PERSON'}	
Who did Beyonce perform next to during Superbowl 50?	Coldplay	['Observer', 'the Top Female Artist of the 2000s', 'Sony Music']	None	None	ORG	{'ORG'}	
If Beyonce won three Grammies in 2015, how many was she nominated for?	six awards	[]	None	None	None	set()	
On what magazine was she the cover model?	Vogue	['NAACP', 'House', 'Xerox']	None	None	ORG	{'ORG'}	
Who would she perform with at Superbowl 50?	Coldplay	['Observer', 'the Top Female Artist of the 2000s', 'New Edition']	None	None	ORG	{'ORG'}	
With what British band did Beyonce perform on their album?	Coldplay	['Observer', 'the Top Female Artist of the 2000s', 'Sony Music']	None	None	ORG	{'ORG'}	
How many awards was Beyoncé nominated for at the 57th annual Grammys?	six	['one', 'two', '200']	None	None	CARDINAL	{'CARDINAL'}	
How many awards did Beyoncé win at the 57th Annual Grammys?	three	['eight', 'twelve', 'nine']	None	None	CARDINAL	{'CARDINAL'}	
Beyoncé lost the Album of the Year award to which entertainer?	Beck	['Halo', 'Gray', 'Gaga']	None	None	PERSON	{'PERSON'}	
Which magazine did Beyoncé pose for the cover, making her the first black female artist to do so?	Vogue	['NAACP', 'Xerox', 'House']	None	None	ORG	{'ORG'}	
Who did Beyonce perform with at Super Bowl 50?	Coldplay	['Observer', 'the Top Female Artist of the 2000s', 'Sony Music']	None	None	ORG	{'ORG'}	
Beyonce released the song "Formation" on which online music service?	Tidal	['Paris', 'Texas', 'D.C.']	None	None	GPE	{'GPE'}	
Beyonce's new single released before the super bowl was called what?	Formation	[]	None	None	None	set()	
What day did Beyonce release her single, Formation?	February 6, 2016	['February 1, 2004', '20th Century Fox', 'January 20, 2009']	None	None	DATE	{'DATE'}	
How was the single released?	exclusively	[]	None	None	None	set()	
What was the name of the streaming service?	Tidal	['Paris', 'Texas', 'New York']	None	None	GPE	{'GPE'}	
What kind of platform was the song released?	music streaming	[]	None	None	None	set()	
When did Beyoncé release Formation?	February 6, 2016	['February 1, 2004', '20th Century Fox', 'January 20, 2009']	None	None	DATE	{'DATE'}	
Where did Beyoncé exclusively release her single, Formation?	Tidal	['Paris', 'Texas', 'New York']	None	None	GPE	{'GPE'}	
As of April 2014, how many albums have Jay Z and Beyonce sold together?	300 million	['her album 4', 'one million', '118 million']	None	None	CARDINAL	{'CARDINAL'}	
Where did Beyonce become pregnant?	Paris	['Texas', 'Tidal', 'D.C.']	None	None	GPE	{'GPE'}	
Beyonce described what as the "hardest thing she had to endure"?	miscarriage	[]	None	None	None	set()	
Who did Beyonce have a relationship with?	Jay Z	['Baker', 'Gray', 'Halo']	None	None	PERSON	{'PERSON'}	
When were Beyonce and Jay Z married?	April 4, 2008	['June 24, 2003', 'March 5, 2010', 'June 11, 2005']	None	None	DATE	{'DATE'}	
Together how records have they sold ?	300 million	['her album 4', 'one million', '118 million']	None	None	CARDINAL	{'CARDINAL'}	
How did Beyonce deal with the miscarriage of her child?	wrote music	['15 May 2013', 'February 28', 'Album of the Year']	None	None	DATE	{'DATE'}	
Where was Beyonce when she became pregnant?	Paris	['Texas', 'Tidal', 'New York']	None	None	GPE	{'GPE'}	
In which music video did Beyoncé star as Jay Z's girlfriend, creating speculation about their relationship?	'03 Bonnie & Clyde	[]	None	None	None	set()	
When were Beyoncé and Jay Z married?	April 4, 2008	['June 24, 2003', 'March 5, 2010', 'June 11, 2005']	None	None	DATE	{'DATE'}	
How many records combined have Beyoncé and Jay Z sold?	300 million	['her album 4', 'one million', '118 million']	None	None	CARDINAL	{'CARDINAL'}	
What did Beyoncé describe as the saddest thing in her life?	miscarriage	[]	None	None	None	set()	
Where did Beyoncé get pregnant?	Paris.	['The Guardian Beyoncé', 'The Huffington Post', 'The Washington Post']	None	None	ORG	{'ORG'}	
Jay Z and Beyonce attended which event together in August of 2011?	MTV Video Music Awards	['the World Music Awards', 'the American Music Awards', 'the Hot R&B/Hip-Hop Songs']	None	None	EVENT	{'EVENT'}	
Beyonce confirmed what after performing one of her songs?	her pregnancy	['Janet Jackson', 'Kelly Rowland', 'Alexis Jordan']	None	None	PERSON	{'PERSON'}	
How many people watched the 2011 MTV Music Awards?	12.4 million	['118 million', 'one million', '300 million']	None	None	CARDINAL	{'CARDINAL'}	
Where did she announce her pregnancy?	2011 MTV Video Music Awards	[]	None	None	None	set()	
Why was the broadcast the most-watched in history?	Her appearance	[]	None	None	None	set()	
What even was recorded in the Guinness World Records?	most tweets per second	[]	None	None	None	set()	
What was the most searched term in week of Aug 29, 2011?	Beyonce pregnant	[]	None	None	None	set()	
What song did she perform at the MTV Awards?	Love on Top	['End of Time', 'Say My Name', 'Killing Time']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
Where did Beyoncé announce her pregnancy?	2011 MTV Video Music Awards	[]	None	None	None	set()	
